asana_name,eng_name,level,pose_type,instructions,drishti,cautions,benefits
Adho Mukha Svanasana,Downward-Facing Dog Pose,Beginner,"Chest Openers, Forward Bends, Inversions","Begin with your hands underneath your shoulders and your knees underneath your hips.Spread your fingers and apply even weight into each knuckle and your entire palm.Lift your hips upward on an exhale, coming off your knees.Look between your arms toward your naval.Breathe as you hold the pose.",Navel,"Keep your feet hips distance apart (do not overestimate the width of your hips)
Avoid during late-term pregnancy
Carpal tunnel syndrome (modify by resting your weight on your forearms instead of hands)","Stretches the hamstrings, calves, hands, and feet
Strengthens the arms and thighs
Energizes the body
Lengthens the spine
Increases blood circulation to the head"
Adho Mukha Vrksasana,Handstand,Advanced,"Arm Balances, Balancing, Core, Inversions, Strength","Begin in downward-facing dog pose with the hands shoulder distance apart, fingers spread wide.Exhale and walk the feet toward the hands until the torso is almost vertical.Inhale and kick the feet up toward the sky, one at a time and with control. Actively stretch the feet upward as the hands push down into the floor.Breathe while holding the pose.",Tip of the nose,Avoid if there is shoulder injury,"Develops physical equilibrium
Strengthens wrists and arms
Strengthens core and spine 
Improves digestion
Stimulates lung function
Improves circulation
Improves focus and builds confidence"
Agnistambhasana,Double Pigeon Pose,Intermediate,"Hip Openers, Seated Poses",Start by sitting cross-legged.Exhale and place one ankle on top of the opposite knee.Inhale and align the other ankle underneath the opposite knee.Breathe while holding the pose.,Tip of the nose,Avoid if there is not sufficient hip flexibility yet,"Opens the hips
Stretches the groins and legs
Reduces tension and anxiety"
Ananda Balasana,Happy Baby Pose,Beginner,"Hip Openers, Restorative","From a supine position, exhale and bend the knees toward the chest.Hold the outsides of the feet and let the knees open to the sides.Exhale and gently pull the feet down while pushing the feet toward the hands.Breathe while holding the pose.",Tip of the nose,Avoid if there is a neck injury,"Opens the hips
Stretches the groins
Relieves tension in the low back
Realigns the spine
Relaxes the mind"
Anjaneyasana,Crescent Moon Pose,Beginner,"Backbends, Balancing, Chest Openers, Hip Openers","Begin in downward facing dog pose.Exhale and step the right foot between the hands.Lower the back knee to the floor and untuck the toes.Be sure that the right knee is directly above the right ankle. Inhale and reach the hands toward the sky.Lift the chest and gaze diagonally upward.Breathe while holding the pose.Exhale and lower, returning to downward facing dog pose. Change sides.",Toward the sky,Place a blanket under the back knee if there is any knee pain.,"Opens the hips.
Lengthens the sides of the body.
Lengthens the spine.
Stretches the hips and quadriceps.
Improves balance.
Opens the shoulders."
Ardha Bhekasana,Half Frog Pose,Intermediate,"Backbends, Chest Openers, Hip Openers","Lie on the belly with the forearms on the floor and parallel.Exhale and bend the right foot in toward the buttocks. Hold the foot with the right hand, fingers pointing forward and elbow toward the sky.To deepen the posture, straighten the left arm.Breathe while holding the pose.",Tip of the nose,Avoid if there is knee or low back injury,"Opens the groin, hips, thighs and chest
Improves digestion"
Ardha Chandrasana,Half Moon Pose,Beginner,"Balancing, Standing Poses",Begin in warrior two pose with the right leg forward.Exhale and place your right hand's fingertips on the ground in front of your right foot.Inhale and lift your left leg toward the sky. Then lift your left hand toward the sky.Breathe normally while balancing in the pose.,Toward the sky,Avoid if you have low blood pressure.,"Strengthens the legs and core
Develops focus and concentration
Improves body awareness"
Ardha Matsyendrasana,Half Lord of the Fishes Pose,Beginner,"Seated Poses, Twists","Begin sitting with the legs outstretched.Bend the right leg and place the sole of the foot on the floor outside of the left knee. Bend the left leg, bringing the foot near the right buttock.Inhale and reach the left arm up.Exhale and twist to the right. Bend the left arm and press the elbow against the outside of the right knee, twisting deeper. Look over the right shoulder.Breathe while holding the pose.Inhale and untwist. Change sides.",Side,Avoid if there is hip or spinal injury,"Stretches and tones the spine
Improves flexibility
Improves circulation to the abdominal organs
Stimulates digestion
Promotes blood flow to the pelvic area
Relieves back pain"
Ardha Pincha Mayurasana,Dolphin Pose,Beginner,"Core, Forward Bends, Inversions, Strength","Start on all fours.Exhale and lower the forearms to the floor.On the next exhale, lift the knees from the floor so that the body forms a ""V"" shape.Walk the feet toward or away from the hands if needed.Breathe while holding the pose.",Tip of the nose,Avoid if there is a shoulder injury,"Strengthens the arms and shoulders
Strengthens the core
Stretches the back of the legs
Revitalizes the mind"
Ashtanga namaskara,Knees-Chest-Chin Pose,Beginner,"Backbends, Strength","Begin in plank pose.Exhale and lower the knees to the floor. Bend the elbows and lower the chest to the floor, then rest the forehead or chin on the floor.Keep the buttocks lifted toward the sky.Inhale and push forward and up into cobra to exit the pose.",Tip of the nose,Keep the elbows in toward the chest.,"Builds arm and core strength.
Releases tension in the upper back and shoulders.
Builds spinal flexibility.
Prepares the body for low plank pose (chaturanga dandasana)."
