model,optimizer,num_epochs,batch_size,actual_num_epochs,accuracy
DenseNet,adam,30,8,26,0.4723183512687683
DenseNet,rmsprop,30,8,14,0.37197232246398926
DenseNet,sgd,30,8,28,0.3252595067024231
DenseNet,adam,30,16,23,0.5
DenseNet,rmsprop,30,16,24,0.48615917563438416
DenseNet,sgd,30,16,30,0.23183390498161316
DenseNet,adam,30,32,23,0.4826989471912384
DenseNet,rmsprop,30,32,20,0.4757785499095917
DenseNet,sgd,30,32,30,0.18166090548038483
DenseNet,adam,50,8,13,0.40830451250076294
DenseNet,rmsprop,50,8,18,0.427335649728775
DenseNet,sgd,50,8,49,0.4134947955608368
DenseNet,adam,50,16,28,0.5017300844192505
DenseNet,rmsprop,50,16,23,0.4498269855976105
DenseNet,sgd,50,16,24,0.19031141698360443
DenseNet,adam,50,32,26,0.47923874855041504
DenseNet,rmsprop,50,32,20,0.43425604701042175
DenseNet,sgd,50,32,45,0.2110726684331894
