Name,Eng_Name
adho mukha svanasana,downward-facing dog
adho mukha vriksasana,handstand pose
agnistambhasana,fire log pose
ananda balasana,happy baby pose
anantasana,side reclining leg fit pose
anjaneyasana,low lunge pose
ardha bhekasana,half frog pose
ardha chandrasana,half moon pose
ardha matsyendrasana,half spinal twist pose
ardha pincha mayurasana,dolphin pose
ardha uttanasana, upward forward fold
ashtanga namaskara,eight limbed pose
astavakrasana,eight-angle pose
baddha konasana,
bakasana,crane pose
balasana,
bhairavasana,
bharadvajasana i,
bhekasana,
bhujangasana,cobra pose
bhujapidasana,
bitilasana,
camatkarasana,
chaturanga dandasana,
dandasana,staff
dhanurasana,bow
durvasasana,sage durvasa's pose
dwi pada viparita dandasana,two legged inverted staff
eka pada koundinyanasana i,twisted one legged arm balance i
eka pada koundinyanasana ii,twisted one legged arm balance ii
eka pada rajakapotasana,king pigeon
eka pada rajakapotasana ii,one legged king pigeon
ganda bherundasana,chin stand
garbha pindasana,embryo pose
garudasana,eagle pose
gomukhasana,cow's face pose
halasana,plough pose
hanumanasana,monkey pose
janu sirsasana,head on knee pose
kapotasana,pigeon pose
krounchasana,heron pose
kurmasana,tortoise pose
makara adho mukha svanasana,dolphin plank
makarasana,crocodile pose
malasana,garland pose
marichyasana i,sage twist pose i
marichyasana iii,sage twist pose iii
marjaryasana,cat pose
matsyasana,fish pose
mayurasana,peacock pose
natarajasana,lord shiva's pose
padmasana,lotus pose
parighasana,beam or cross-bar pose
paripurna navasana,full boat
parivrtta janu sirsasana,revolved head-to-knee pose
parivrtta parsvakonasana,revolved side angle pose
parivrtta trikonasana,revolved triangle pose
parsva bakasana,side crow pose
parsvottanasana,pyramid pose
pasasana,noose pose
paschimottanasana,back stretching pose
phalakasana,plank pose
pincha mayurasana, forearm stand
prasarita padottanasana,intense leg stretch pose
purvottanasana,upward plank pose
salabhasana,locust pose
salamba bhujangasana,sphinx pose
salamba sarvangasana,candle pose
salamba sirsasana,headstand pose
savasana,
setu bandha sarvangasana,
simhasana,
sukhasana,easy pose
supta baddha konasana,
supta matsyendrasana,
supta padangusthasana,
supta virasana,
tadasana,
tittibhasana,
tolasana,
tulasana,
upavistha konasana,
urdhva dhanurasana,
urdhva hastasana,
urdhva mukha svanasana,
urdhva prasarita eka padasana,
ustrasana,
utkatasana,
uttana shishosana,
uttanasana,
utthita ashwa sanchalanasana,
utthita hasta padangustasana,
utthita parsvakonasana,
utthita trikonasana,
vajrasana,
vasisthasana,
viparita karani,
virabhadrasana i,
virabhadrasana ii,
virabhadrasana iii,
virasana,
vriksasana,
vrischikasana,scorpion pose
yoganidrasana,
